X_id,ID,YEAR_FUNDED,GROUP_NAME,PROJECT_NAME,GARDEN_TYPE,NUMBER_OF_GARDENS,ESTIMATED_GARDEN_SIZE,NEIGHBOURHOOD_NUMBER,NIA_OR_EN,PRIMARY_LOCATION_NAME,PRIMARY_GARDEN_ADDRESS,POSTAL_CODE,IS_INDIGENOUS_GARDEN,WARD_NAME,WARD_NUMBER,DESCRIPTION,IMAGE_NAME,IMAGE_ALT_TEXT,geometry
42,42,2021,Friends of Guild Park / Guildwood Butterflyway Project,Guild Park Pollinator Garden,City Park,1,40,140,None,Guild Park,201 Guildwood Parkway,M5A 2P2,None,Scarborough-Guildwood,24,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.19166629, 43.74771606]]}"
43,43,2021,Garden Club of Toronto,Metropolitan United Church Pollinator Garden,Spiritual Centre Garden,2,166,168,None,Metropolitan United Church,56 Queen Street East,M1E 1P5,None,Toronto Centre,13,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.37666025, 43.65385432]]}"
44,44,2021,Harmony Community Food Centre,The Harmony Pollinator Garden,Communal Garden,9,12,54,None,Harmony Community Food Centre,2 Gower Street,M5C 2Z3,None,Beaches-East York,19,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.29893272, 43.7021797]]}"
45,45,2021,Indigenous Peoples Solidarity Group (IPSG),Right Relations Garden,"Spiritual Centre Garden, Rain Garden",7,140,94,None,St. Matthew's United Church,729 St. Clair Avenue West,M4B 1E2,Y,Toronto-St. Paul's,12,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.42747455, 43.68113281]]}"
46,46,2021,JBV Gardening Committee,Pollinating South Parkdale: A Cooperative Community Garden,Multi-Residential Garden,1,172,85,NIA,John Bruce Village Cooperative,18 Elm Grove Avenue,M6G 3J4,None,Parkdale-High Park,4,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.43130385, 43.63920895]]}"
47,47,2021,John A Leslie Parent Council,JAL Bee-utiful Garden Expansion Project,School Learning Garden,4,38,123,None,John A Leslie Public School,459 Midland Avenue,M1N 4A7,None,Scarborough Southwest,20,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.24905937, 43.71410868]]}"
48,48,2021,Lambton Park Community School,Lambton Park Environmental Learning Garden,School Learning Garden,1,19,111,NIA,Lambton Park Community School,50 Bernice Crescent,M6K 2J1,None,York South-Weston,5,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.49831076, 43.66758456]]}"
49,49,2021,Malvern Family Resource Centre,Eco-Learning Pollinator Garden,Communal Garden,1,2023,143,None,Malvern Family Resource Centre,90 Littles Road,M6N 1W9,None,Scarborough-Rouge Park,25,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.20528668, 43.81829229]]}"
50,50,2021,Monarch Park Pollinator Partners (MPPP),Monarch Park Collegiate Institute Pollinator Gardens,School Learning Garden,3,62,65,None,Monarch Park Collegiate Institute,1 Hanson Street,M1B 5E2,None,Toronto-Danforth,14,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.32277189, 43.67928073]]}"
51,51,2021,OCAD University,Friendship Community Garden,School Learning Garden,1,81,78,None,OCAD University,100 McCaul Street,M4J 1G6,None,Spadina-Fort York,10,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.39120499, 43.65300337]]}"
52,52,2021,Scadding Court Community Centre & Friends of Alexandra Park,Alexandra Park Pollinator Power,City Park,2,35,78,None,Alexandra Park,275 Bathurst Street,M5T 1W1,None,Spadina-Fort York,10,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.40504191, 43.65109968]]}"
